client_id,client_name,country,segment,onboarding_date
C0001,April Carter,Canada,Retail,2022-03-24
C0002,Albert Hays,USA,Institutional,2022-10-22
C0003,Joshua Green,UK,High Net Worth,2021-04-05
C0004,Debbie Chan,UK,Retail,2019-04-14
C0005,Jose Powell,Canada,Retail,2020-12-20
C0006,Brittany Gill,Germany,Corporate,2020-03-01
C0007,Monica Jackson,USA,Retail,2019-04-20
C0008,Cole Gomez,USA,High Net Worth,2019-05-24
C0009,Jaime Roth,UK,Retail,2020-07-21
C0010,Kristin Heath,Germany,High Net Worth,2021-11-20
C0011,Samantha Thompson,Canada,Corporate,2026-02-23
C0012,Robin Klein,UK,Corporate,2025-04-30
C0013,Jennifer Simpson,Germany,Institutional,2022-01-01
C0014,Timothy Martinez,Australia,Retail,2022-01-23
C0015,Isaac Palmer,Australia,High Net Worth,2025-02-17
C0016,Stephen Barry,Canada,Corporate,2020-01-05
C0017,Bridget Ramirez,India,Institutional,2019-12-24
C0018,Kristin Brown,UK,High Net Worth,2021-11-02
C0019,Karen Rowland,Australia,Institutional,2023-12-23
C0020,Brian Norman,USA,Retail,2022-05-19
C0021,Suzanne Jensen,Singapore,Retail,2026-06-10
C0022,Rachel Ruiz,India,Institutional,2023-06-14
C0023,Mr. John Cohen,Germany,Institutional,2023-05-23
C0024,Amy Miller,Australia,Retail,2026-05-11
C0025,Brian Baker,Canada,Corporate,2022-11-06
C0026,Stacy Walton,Germany,Retail,2021-09-08
C0027,Nicholas Boyd,Singapore,Retail,2025-02-09
C0028,Sara Rivera,Germany,Institutional,2018-10-17
C0029,Aaron Lopez,Australia,Institutional,2022-08-19
C0030,Susan Carter,Germany,High Net Worth,2020-02-09
C0031,William Solomon,Canada,Retail,2023-08-11
C0032,Brittney Aguilar,USA,High Net Worth,2024-08-29
C0033,Kimberly Kim,Australia,Institutional,2021-12-08
C0034,Christina Pope,USA,High Net Worth,2019-01-31
C0035,Thomas Garza,Australia,Retail,2023-04-09
C0036,Juan Jones,Singapore,Institutional,2019-12-14
C0037,Gregory Edwards,Singapore,Institutional,2024-04-02
C0038,Elizabeth Sanchez,UK,Institutional,2022-02-17
C0039,Richard Hayes,India,High Net Worth,2023-02-11
C0040,Taylor Morrison,Canada,Institutional,2021-05-31
